,townland,town,population,lat,lng
10524,Carnamogagh Lower,Letterkenny Rural,973,54.9775907,-7.7199477
10525,Carnamogagh Upper,Letterkenny Rural,1567,54.97381875,-7.731053191217256
10526,Carnamoyle,Kilderry,188,55.0776143,-7.31201
10527,Carnashannagh (ED Fahan),Fahan,67,55.065570300000005,-7.4137767899207745
10528,Carnatreantagh,Templedouglas,69,55.00484165,-7.833617085627431
10529,Carnbeagh North,Clogher,42,54.66718565,-8.040561431403296
10530,Carnbeagh South,Clogher,14,54.6638029,-8.040216708928572
10531,Carnboy,Anagaire,13,55.0585163,-8.339894051052982
10532,Carndoagh,Carndonagh,68,55.26656335,-7.3348297069745945
10533,Carngarrow,Cnoc Colbha,21,55.1602769,-7.5700905345646685
10536,Carnowen,Castlefinn,88,54.8317374,-7.624501423236493
10537,Carnshannagh (ED Feddyglass),Feddyglass,12,54.8893228,-7.551209064119471
10538,Carntressy,Templecarn,10,,
10539,Carntullagh,Killybegs,24,54.624444,-8.430278
10540,Carradoan,Rathmullan,13,55.127049799999995,-7.54699055742903
10544,Carran Upper and Lower,An Cheathrú Chaol,31,55.1852435,-7.6277176424468855
10545,Carranadore,Cloghard,32,54.78882125,-7.639802664441326
10547,Carrick Lower,Gleann Cholm Cille,147,54.66156215,-8.652589847357294
10548,Carrick Upper,Gleann Cholm Cille,181,54.6120586,-8.0943224
10549,Carrick (ED Cranford),Creamhghort,67,55.1659021,-7.746583887987757
10550,Carrick (ED Killygordon),Killygordon,49,54.807681349999996,-7.617716317960189
10551,Carrick (ED Meenaclady),Mín an Chladaigh,341,,
10552,Carrick (ED Templedouglas),Templedouglas,58,54.9980605,-7.864433393666231
10553,Carrick Upper and Lower Barr,Laghy,23,54.61411045,-8.000227179396862
10554,Carrick West,Laghy,36,54.610451499999996,-8.110720915010127
10555,Carrickabraghy,Ballyliffin,16,55.31102335,-7.36488587891291
10556,Carrickadawson,Feddyglass,35,,
10557,Carrickafodan (ED Gleneganon),Glennagannon,200,55.2634732,-7.238382878152869
10559,Carrickanee,Inch Island,60,55.0623582,-7.473158948875765
10560,Carrickart,Carraig Airt,274,55.1771751,-7.7941392
10562,Carrickatimpan,Mín an Lábáin,8,54.968365899999995,-8.059601977815007
10563,Carrickatlieve Glebe,Ard an Rátha,31,54.73474615,-8.322725174184642
10564,Carrickballydooey,Kincraigy,20,54.9397185,-7.612903724227847
10566,Carrickboy,Ballyshannon Urban,372,54.4957885,-8.19629785430606
10567,Carrickbrack (Raphoe North By),Convoy,27,,
10568,Carrickbrack (Raphoe South By),Convoy,45,,
10569,Carrickbreeny,Ballintra,15,54.58954805,-8.101548734743723
10570,Carrickfin,Anagaire,12,55.0534994,-8.33102367011492
10571,Carrickmagrath,Goland,232,54.7765986,-7.809754671577359
10573,Carrickmaquigley,Redcastle,210,55.1793908,-7.155176899568772
10574,Carrickmore,St. Johnstown,58,54.6329156,-7.9535132
