,townland,town,population
10869,Crislaghkeel,Fahan,39
10870,Crislaghmore,Fahan,108
10871,Croagh (ED Corkemore),Corkermore,34
10874,Croaghan (ED Clonleigh South),Clonleigh South,8
10875,Croaghan (ED Rathmelton),Rathmelton,62
10876,Croaghan (ED Rosnakill),Rosnakill,19
10878,Croaghbeg,An Leargaidh Mhór,22
10881,Croaghlin (ED Glencolumbkille),Gleann Cholm Cille,18
10882,Croaghlin (ED Killybegs),Killybegs,58
10886,Croaghnashallog,An Clochán Liath,120
10888,Croaghross,Grianfort,33
10895,Crockglass,Whitecastle,31
10898,Crocknagapple,Maol Mosóg,6
10899,Crocknageeragh,An Clochán Liath,102
10900,Crocknamurleog,Ros Goill,99
10901,Crockraw,Mín an Lábáin,15
10902,Crohy,An Machaire,70
10903,Crohyboyle,An Clochán Liath,31
10905,Crolly,Machaire Chlochair,119
10908,Cronaguiggy,Machaire Chlochair,35
10910,Cronalaghy,Gleneely,34
10913,Cronkeeran,Maol Mosóg,42
10914,Cross (ED Killea),Killea,24
