,townland,town,population
12682,Ummerafad,Caisleán na dTuath,54
12683,Ummerawirrinan,Gleann Cholm Cille,28
12684,Umrycam (ED Mintiaghs),Mintiaghs,194
12685,Umrycam (ED Fanad West),Fánaid Thiar,6
12686,Umuskan,An Leargaidh Mhór,15
12687,Unshinagh Lower,Clonleigh South,13
12689,Maymore Upper,St. Johnstown,23
12692,Urbalreagh,Malin,29
12693,Urbalshinny (ED Ballintra),Ballintra,13
12694,Urbalshinny (ED Millford),Millford,80
12695,Urrismenagh,Dunaff,80
12696,Veagh,Manorcunningham,22
12700,Welchtown,An Clochán,75
12701,Whitecastle,Whitecastle,22
12702,Whitehill (ED Gartan),Gartán,16
12704,Whitehill (ED St. Johnstown),St. Johnstown,87
12706,Whitehill (ED Tullynaught),Tullynaught,7
12707,Whitehouse,Killea,17
12708,Windyhall,Letterkenny Rural,94
12709,Winnyhaw,Figart,12
12710,Winterhill,Haugh,15
12711,Wood,Clonleigh South,12
12713,Woodhill (ED Ardara),Ard an Rátha,52
12714,Woodhill (ED Ards),Ards,13
12715,Woodhill (ED Kincraigy),Kincraigy,17
12716,Woodland,Castlewray,279
12717,Woodlands,Feddyglass,19
12718,Woodpark,Corravaddy,240
12719,Woodquarter,Creamhghort,102
12720,Woodtown,Gortnavern,25
